,correlation,mse,frac,label
b11_frac_0.1_000,0.31307819323859304,0.2139335081275946,0.1,True-True
b11_frac_0.1_001,0.612340481649259,0.14029511461603497,0.1,True-True
b11_frac_0.1_002,0.6511396846375676,0.12376332131700706,0.1,False-True
b11_frac_0.1_003,0.2806393873451604,0.23028426684377476,0.1,False-False
b11_frac_0.1_004,0.7072331885263513,0.10661492812101743,0.1,True-True
b11_frac_0.1_005,0.42910763583301575,0.19285676582026035,0.1,False-False
b11_frac_0.1_006,0.5195233232968465,0.1688163628544253,0.1,False-False
b11_frac_0.1_007,0.6206994940169785,0.13489819540826714,0.1,True-True
b11_frac_0.1_008,0.5041103318041937,0.17064749025271467,0.1,True-True
b11_frac_0.1_009,0.5660052820598758,0.16175789569198218,0.1,True-True
b11_frac_0.1_010,0.6856726850703709,0.10895268805056949,0.1,True-False
b11_frac_0.1_011,0.007610292259157446,0.9319062566086964,0.1,False-False
b11_frac_0.1_012,0.42649753635643806,0.19983494241907326,0.1,True-True
b11_frac_0.1_013,0.304116997953156,0.22322806625133645,0.1,False-False
b11_frac_0.1_014,0.684321926583577,0.1181022921284176,0.1,True-True
b11_frac_0.1_015,0.4873245142928531,0.1750119354771332,0.1,True-True
b11_frac_0.1_016,0.6338553386518458,0.1336182075661197,0.1,False-True
b11_frac_0.1_017,0.33554788315727235,0.21132184469552634,0.1,False-False
b11_frac_0.1_018,0.4319752923662062,0.18647466153701964,0.1,False-True
b11_frac_0.1_019,0.6232122081694764,0.13585066110645924,0.1,True-True
b11_frac_0.1_020,0.44518088712293036,0.1841792559353516,0.1,False-True
b11_frac_0.1_021,0.20630109979233424,0.30494413225912265,0.1,False-False
b11_frac_0.1_022,0.6251268178729568,0.13736735891719884,0.1,True-True
b11_frac_0.1_023,0.622319212416171,0.13817861943190257,0.1,False-True
b11_frac_0.1_024,0.46632732606184735,0.17537522296320834,0.1,True-True
b11_frac_0.1_025,0.5081925491545072,0.16690175154247375,0.1,True-True
b11_frac_0.1_026,0.6146475185941639,0.14019111542716087,0.1,False-True
b11_frac_0.1_027,0.7536236098343618,0.0950336171652267,0.1,True-True
b11_frac_0.1_028,0.7248446042059298,0.10391447055599114,0.1,True-True
b11_frac_0.1_029,0.6453439605051067,0.13077475161569327,0.1,True-True
b11_frac_0.1_030,0.6871446763184118,0.11275566147968258,0.1,True-True
b11_frac_0.1_031,0.5936567300830321,0.14621948295091747,0.1,True-True
b11_frac_0.1_032,0.5421512317281456,0.15431855297135166,0.1,False-False
b11_frac_0.1_033,0.6233435332577462,0.13839444285160826,0.1,True-True
b11_frac_0.1_034,0.6603558742148261,0.1265091189799375,0.1,False-True
b11_frac_0.1_035,0.5987419026343523,0.14129222821173712,0.1,True-True
