,edge,strength,tval,abstval,pval,logpval,fdr,bfr,distance,inv_dist,include,interaction,cocitation,string,genemania,npath,coexpression,experimental,database,textmining
0,4EBP1pS65_4EBP1pS65,0.0,,,,,,,-1.0,-1.0,-1.0,0,0,0,0.0,1,0,0,0,0
1,RbpS807_4EBP1pS65,0.033163280968092006,9.802502538700391,9.802502538700391,1.0092614745530498e-21,20.995996304284,4.39351311457655e-21,8.110425209508309e-18,1.0,-2.0,0.0,0,0,329,0.0,5,0,0,0,329
2,MAPKpT202_4EBP1pS65,-0.0128998046872644,-4.32500552938864,4.32500552938864,1.67827271988851e-05,4.7751374647714195,4.2211579270810904e-05,0.134865995770241,0.0,-2.0,0.0,1,9,946,3.2e-05,2,0,467,800,536
3,MEKpS217_4EBP1pS65,-0.01594319236159,-7.249645431445679,7.249645431445679,8.35899995305381e-13,12.077845677208,2.8402927536042503e-12,6.717292362274039e-09,1.0,-2.0,1.0,0,0,0,0.0,18,0,0,0,0
4,S6_4EBP1pS65,0.0144650022449504,5.24208609029751,5.24208609029751,1.93719812428815e-07,6.71282596013536,5.40532087735403e-07,0.0015567324126779599,-2.0,-2.0,,0,1,0,0.0,0,0,0,0,0
5,PAI-1_4EBP1pS65,0.030188035670598,9.055997416552199,9.055997416552199,6.9453785456106995e-19,18.1583040788263,2.81741857609932e-18,5.58130619925276e-15,1.0,-2.0,0.0,0,0,0,0.0,3,0,0,0,0
6,AKTpS473_4EBP1pS65,0.0348370240014553,16.1207755644887,16.1207755644887,3.836116582950279e-52,51.4161082027103,2.8837261796621496e-51,3.0827032860588396e-48,0.0,-2.0,0.0,1,12,677,0.00091,2,50,400,0,478
7,AMPKpT172_4EBP1pS65,-0.0208942457716107,-9.13945050025089,9.13945050025089,3.4166919802953e-19,18.4663941717098,1.39870284022685e-18,2.7456536753653003e-15,1.0,-2.0,1.0,0,0,311,0.0,47,0,0,0,311
8,b-Catenin_4EBP1pS65,0.0432436965630403,18.2885766526632,18.2885766526632,1.13389113254698e-64,63.945428641037296,1.0401768425967498e-63,9.111949141147557e-61,1.0,-2.0,0.0,0,0,286,0.0,2,0,0,0,286
9,BIM_4EBP1pS65,-0.008349121652447321,-3.59430365238056,3.59430365238056,0.000341145516446769,3.46706033212326,0.000792783507856053,1.0,1.0,-2.0,1.0,0,0,0,5.6999999999999996e-05,6,0,0,0,0
10,Caveolin_4EBP1pS65,0.0118565034045673,4.9516642323103,4.9516642323103,8.63455570547698e-07,6.063760004318159,2.33313011597892e-06,0.0069387289649213,1.0,-2.0,1.0,0,0,161,0.0,10,0,0,0,161
11,CyclinB1_4EBP1pS65,-0.0264875098895198,-11.1185742813374,11.1185742813374,3.70550969156956e-27,26.4311520465209,1.79166521549055e-26,2.9777475881452996e-23,2.0,-2.0,2.0,0,0,469,0.0,194,124,0,0,419
12,CyclinD1_4EBP1pS65,0.0368043035178184,13.1133945283482,13.1133945283482,2.3020537693740098e-36,35.6378845367142,1.3347261248693699e-35,1.8499304090689498e-32,1.0,-2.0,0.0,0,0,677,0.0,1,65,0,0,669
13,GSK3abpS21_4EBP1pS65,0.037365456886325,13.7839611651019,13.7839611651019,1.06678898856143e-39,38.971921475764,6.589328448946729e-39,8.57271631207969e-36,0.0,-2.0,0.0,1,1,0,9.499999999999999e-05,2,0,0,0,0
14,GSKpS9_4EBP1pS65,0.0267106461521029,8.777382224821581,8.777382224821581,7.133779445990929e-18,17.1466803218087,2.82399269103365e-17,5.73270516279831e-14,0.0,-2.0,0.0,1,1,0,9.499999999999999e-05,2,0,0,0,0
15,IGFBP2_4EBP1pS65,0.005836888943161421,1.46892267983669,1.46892267983669,0.14216857326813098,0.847196394918751,0.22335613974246302,1.0,-2.0,-2.0,,0,0,0,0.00011999999999999999,0,0,0,0,0
16,p38pT180_4EBP1pS65,-0.000367253195988436,-0.22720973857928,0.22720973857928,0.820307142856427,0.0860235067964316,0.8769019982167131,1.0,1.0,-2.0,1.0,0,11,0,5.1e-05,31,0,0,0,0
17,p53_4EBP1pS65,0.0038508115931335297,1.47880001461575,1.47880001461575,0.13950900085612697,0.8553977716302109,0.21960711672474698,1.0,1.0,-2.0,1.0,0,1,618,0.0,39,95,0,0,596
18,p70S6KpT389_4EBP1pS65,0.0173874667103267,5.95907308459199,5.95907308459199,3.51280929944184e-09,8.454345426196621,1.05924711183169e-08,2.8228935530314598e-05,1.0,-2.0,1.0,0,22,0,7.099999999999999e-05,16,0,0,0,0
19,SRCpY527_4EBP1pS65,-0.00864069437719575,-3.54994043153029,3.54994043153029,0.000403267211136778,3.3944070881864397,0.0009306879117447301,1.0,1.0,-2.0,1.0,0,0,0,0.0,30,0,0,0,0
20,STAT3pY705_4EBP1pS65,0.0170658460664256,7.701357044068401,7.701357044068401,3.23145147460815e-14,13.4906023613159,1.14648759602433e-13,2.5967944049951097e-10,1.0,-2.0,1.0,0,0,537,0.0,11,61,0,0,528
21,TSC2pT1462_4EBP1pS65,-0.0024255663581569603,-0.8370719865959699,0.8370719865959699,0.402752301289031,0.394961969383549,0.521010543006867,1.0,1.0,-2.0,1.0,0,4,0,0.00063,28,0,0,0,0
22,YAPpS127_4EBP1pS65,-0.0110618275611275,-2.70215898048352,2.70215898048352,0.00700584200337648,2.1545396611712597,0.0143839924218532,1.0,1.0,-2.0,1.0,0,0,0,0.0,4,0,0,0,0
23,ACC1_4EBP1pS65,0.0163282046641235,7.52934629912732,7.52934629912732,1.13771356029061e-13,12.943967065571599,3.9768012920814793e-13,9.142666170495329e-10,-2.0,-2.0,,0,0,0,0.0,0,0,0,0,0
24,AKTpT308_4EBP1pS65,0.0250772853896376,10.867072049388199,10.867072049388199,4.4532414381286e-26,25.3513237584047,2.1162772440450303e-25,3.5786248196801397e-22,0.0,-2.0,0.0,1,12,677,0.00091,2,50,400,0,478
25,AKT_4EBP1pS65,0.0823423075733115,15.739315546377899,15.739315546377899,4.972160335788369e-50,49.30345487523851,3.64232274005427e-49,3.9956280458395305e-46,0.0,-2.0,0.0,1,12,677,0.00091,2,50,400,0,478
26,b-CateninpS_4EBP1pS65,-0.00434304810920221,-1.9123591211593203,1.9123591211593203,0.0561159009431364,1.25091406007407,0.0990222617433122,1.0,1.0,-2.0,0.0,0,0,286,0.0,2,0,0,0,286
27,Fibronectin_4EBP1pS65,0.0269558102759656,16.399699735071398,16.399699735071398,1.04855071783058e-53,52.9794105581016,8.071028322305119e-53,8.426153568486549e-50,1.0,-2.0,1.0,0,0,330,0.0,5,61,0,0,316
28,HSP27_4EBP1pS65,-0.00876408396469588,-4.656389953759019,4.656389953759019,3.65205589680674e-06,5.43746258396114,9.559583448449159e-06,0.0293479211867389,2.0,-2.0,0.0,0,0,293,0.0,19,78,0,0,265
29,IGF1R-beta_4EBP1pS65,0.0026086143644472,0.802426627811134,0.802426627811134,0.422497060691927,0.3741763080864,0.540290639675418,1.0,1.0,-2.0,1.0,0,0,0,4.3e-05,9,0,0,0,0
30,IRS1_4EBP1pS65,0.0184296484871857,7.00033402307666,7.00033402307666,4.67960701235286e-12,11.329790616911499,1.5545813125782403e-11,3.76053219512676e-08,1.0,-2.0,1.0,0,0,690,0.0,14,0,0,0,690
31,p27_4EBP1pS65,0.0288360053581392,12.019912904462302,12.019912904462302,3.5190207601988296e-31,30.4535781710696,1.84829090385345e-30,2.82788508289578e-27,2.0,-2.0,1.0,0,0,663,0.0,124,0,0,0,663
32,c-Myc_4EBP1pS65,0.0005863120767057611,0.23084305646206896,0.23084305646206896,0.817483996436614,0.0875207405970955,0.8750901019534608,1.0,1.0,-2.0,1.0,0,0,0,0.0,28,0,0,0,0
33,SMAD3_4EBP1pS65,0.0019238665968944,0.8330999741259419,0.8330999741259419,0.40498747628245896,0.39255840657673097,0.523060006333308,1.0,1.0,-2.0,0.0,0,0,0,0.0,5,0,0,0,0
34,STAT3_4EBP1pS65,-0.00309285948588919,-1.2655533681645401,1.2655533681645401,0.20596810715273198,0.686200022154565,0.3053236873417,1.0,1.0,-2.0,1.0,0,0,537,0.0,11,61,0,0,528
35,STAT5_4EBP1pS65,0.00148452901334999,1.1360636791716898,1.1360636791716898,0.256202372251809,0.591416853314593,0.363175562429976,1.0,1.0,-2.0,1.0,0,0,421,0.0,14,61,0,0,409
36,STAT5pY694_4EBP1pS65,9.04393080824e-05,0.0370149636204305,0.0370149636204305,0.970480469611246,0.0130132001266354,0.97962329528903,1.0,1.0,-2.0,1.0,0,0,421,0.0,14,61,0,0,409
37,COX2_4EBP1pS65,-0.0265515242865801,-10.3938490049206,10.3938490049206,4.24975431180624e-24,23.3716361767994,1.9349023030977302e-23,3.41510256496749e-20,1.0,-2.0,1.0,0,0,0,0.0,9,0,0,0,0
38,PAX2_4EBP1pS65,0.0115913686933848,4.429146690779531,4.429146690779531,1.0503971195118599e-05,4.97864647787614,2.6745853144478e-05,0.0844099125239727,1.0,-2.0,0.0,0,0,0,0.0,8,0,0,0,0
39,PLK1_4EBP1pS65,-0.0244626756626725,-10.9334889832186,10.9334889832186,2.31932148091121e-26,25.6346390496763,1.10808962072547e-25,1.86380674206025e-22,1.0,-2.0,1.0,0,1,0,0.00011999999999999999,8,0,0,0,0
40,YBIpS102_4EBP1pS65,-0.0210250989048215,-3.55791365090748,3.55791365090748,0.000391374331272001,3.4074076614385898,0.000904279507217308,1.0,2.0,-2.0,0.0,0,1,0,0.00011,8,0,0,0,0
41,CHK2pT68_4EBP1pS65,-0.00470895767403504,-1.43742661030651,1.43742661030651,0.150909947746934,0.8212821312701001,0.23520410009588,1.0,1.0,-2.0,1.0,0,1,0,0.0,4,0,0,0,0
42,S6pS235_4EBP1pS65,0.22291546720449998,29.7860848811445,29.7860848811445,4.908852812451558e-140,139.309019989635,1.3193157592261097e-138,3.944754120086079e-136,-2.0,-2.0,,0,1,0,0.0,0,0,0,0,0
43,S6pS240_4EBP1pS65,-0.053489784365579995,-8.683818922884969,8.683818922884969,1.5386472420223497e-17,16.8128609372859,6.04624412561938e-17,1.23645692368916e-13,-2.0,-2.0,,0,1,0,0.0,0,0,0,0,0
44,4EBP1pT37_4EBP1pS65,0.111968205268854,25.7544445668185,25.7544445668185,1.3823976836064998e-112,111.85936700258301,2.414988649013439e-111,1.1108947785461797e-108,-1.0,-1.0,-1.0,0,0,0,0.0,1,0,0,0,0
45,Caspase9_4EBP1pS65,-0.00448845156915347,-2.3530811287985895,2.3530811287985895,0.0188116419813101,1.7255732952364498,0.0363041198275235,1.0,2.0,-2.0,1.0,0,0,0,0.0,41,0,0,0,0
46,a-tubulin_4EBP1pS65,0.0026129521186014602,1.3715088824809,1.3715088824809,0.170524334734706,0.7682136361032769,0.260817197169414,1.0,2.0,-2.0,1.0,0,0,0,7.4e-05,12,0,0,0,0
47,ATMpS1981_4EBP1pS65,-0.00195592569227355,-0.672176628596641,0.672176628596641,0.501626682270706,0.299619370792299,0.6178835099214279,1.0,0.0,-2.0,0.0,1,2,789,4.7e-05,2,0,379,0,674
48,ATR_4EBP1pS65,-0.0053737214646571,-1.6259213375526398,1.6259213375526398,0.10428177743407101,0.98179157509452,0.17165267584190697,1.0,1.0,-2.0,1.0,0,0,197,6.1e-05,6,0,83,0,161
49,BAK_4EBP1pS65,-0.0077773084880946594,-2.1262781202952703,2.1262781202952703,0.0337247763682274,1.47205092148903,0.0625605500681153,1.0,3.0,-2.0,1.0,0,0,153,0.0,86,69,0,0,128
50,BCL-XL_4EBP1pS65,-0.00205547490457374,-0.902715577393854,0.902715577393854,0.36689446939476295,0.435458834794718,0.483973072235114,1.0,2.0,-2.0,2.0,0,0,0,0.0,62,0,0,0,0
51,BCL2_4EBP1pS65,-0.00114184690764015,-0.683806414671112,0.683806414671112,0.49425599079071,0.306048057974675,0.6108646744992071,1.0,1.0,-2.0,1.0,0,0,0,0.0,8,0,0,0,0
52,bRAF_4EBP1pS65,0.00658184583496539,3.39771337297311,3.39771337297311,0.000706326962291282,3.1509942153107406,0.00159933600140117,1.0,1.0,-2.0,1.0,0,0,224,0.0,14,0,71,0,199
53,c-JUNpS73_4EBP1pS65,-0.0137712798665039,-6.18334170289806,6.18334170289806,9.134239563170711e-10,9.039327602363489,2.81128874491152e-09,7.34027491296398e-06,1.0,-2.0,1.0,0,0,0,0.0,27,0,0,0,0
54,Casp9cAsp31_4EBP1pS65,-0.00236476801440135,-0.702079307629573,0.702079307629573,0.482793243757255,0.316238816079811,0.5991855609008959,1.0,2.0,-2.0,1.0,0,0,0,0.0,41,0,0,0,0
55,CHK1pS345_4EBP1pS65,-0.00467788930976521,-2.2006062686529,2.2006062686529,0.0279921314613523,1.55296403091362,0.0526063537005208,1.0,1.0,-2.0,1.0,0,0,0,0.0,6,0,0,0,0
56,cRAFV_4EBP1pS65,-0.0048559644200453,-2.05703348250503,2.05703348250503,0.03994218866535299,1.39856814128698,0.0729655440133613,1.0,1.0,-2.0,1.0,0,0,458,0.0,14,0,71,0,441
57,EGFRV_4EBP1pS65,-0.0037295317501955796,-1.78194523957268,1.78194523957268,0.075061840609632,1.12458079035185,0.12806729323545699,1.0,1.0,-2.0,1.0,0,2,0,0.0,25,0,0,0,0
58,ELK1pS383_4EBP1pS65,0.000464388148556034,0.18762401045761398,0.18762401045761398,0.8512095031817891,0.0699635364160704,0.897208757551004,1.0,1.0,-2.0,1.0,0,0,0,0.0,11,0,0,0,0
59,ERa_4EBP1pS65,-0.00746903565980815,-2.82162499675532,2.82162499675532,0.0048728198074321,2.31221964814771,0.0101671904542417,1.0,1.0,-2.0,1.0,0,0,0,0.0,38,0,0,0,0
60,GATA3_4EBP1pS65,0.00144101277157734,0.520501916595396,0.520501916595396,0.6028291263864929,0.21980577241025798,0.7067894455269709,1.0,1.0,-2.0,0.0,0,0,0,0.0,4,0,0,0,0
61,GSK3ab_4EBP1pS65,0.0037701631562193296,3.22723195168051,3.22723195168051,0.00129059441092969,2.8892102199879597,0.0028665607203512897,1.0,0.0,-2.0,0.0,1,1,0,9.499999999999999e-05,2,0,0,0,0
62,mTORpS2448_4EBP1pS65,0.0030831522051481103,1.5251063980413702,1.5251063980413702,0.127549063639593,0.8943227252756759,0.20373370610371103,1.0,0.0,-2.0,0.0,1,54,0,0.0018,2,0,0,0,0
63,p21_4EBP1pS65,-0.00222501408703952,-1.2094997162669598,1.2094997162669598,0.226757064832818,0.644439173197917,0.32963454648996504,1.0,1.0,-2.0,1.0,0,1,0,0.0,4,0,0,0,0
64,STAT6pY641_4EBP1pS65,-0.00144749758382744,-0.6737803021757099,0.6737803021757099,0.500606858329538,0.300503204839121,0.6167218631819971,1.0,1.0,-2.0,1.0,0,0,0,8.4e-05,10,0,0,0,0
65,TAZpS89_4EBP1pS65,-0.00092310660310616,-0.394484197400522,0.394484197400522,0.6933077905108531,0.15907391972497598,0.7808284622527671,1.0,2.0,-2.0,1.0,0,0,0,0.0,3,0,0,0,0
66,XRCC1_4EBP1pS65,0.0004911712630954441,0.23374263907254503,0.23374263907254503,0.8152326721757049,0.0887184233818034,0.873494633813862,1.0,2.0,-2.0,2.0,0,0,0,0.0,187,0,0,0,0
67,PCNA_4EBP1pS65,-0.00412310253648008,-2.00985288253476,2.00985288253476,0.0447152436738255,1.3495443982358601,0.0807995510994086,1.0,1.0,-2.0,1.0,0,0,0,0.0,2,0,0,0,0
68,PDK1pS241_4EBP1pS65,0.00324437986153907,1.66743566746588,1.66743566746588,0.0957412214956781,1.01890103595739,0.15912646451691198,1.0,1.0,-2.0,1.0,0,1,0,0.0,2,0,0,0,0
69,PI3Kp85_4EBP1pS65,-0.000473519044120026,-0.17077052035307597,0.17077052035307597,0.864438789757287,0.0632657533580104,0.9067453972943249,1.0,1.0,-2.0,1.0,0,0,0,0.0,10,0,0,0,0
70,PKCa_4EBP1pS65,0.00584420511576707,2.25018979083822,2.25018979083822,0.024653817383457996,1.6081158252625,0.0466749171087435,1.0,1.0,-2.0,1.0,0,0,0,3.9e-05,33,0,0,0,0
71,RAD51_4EBP1pS65,0.00318419331938555,2.5326937289757203,2.5326937289757203,0.011471113314838003,1.94039443013475,0.0228909527186585,1.0,2.0,-2.0,1.0,0,0,0,0.0,16,0,0,0,0
72,SRCpY416_4EBP1pS65,-2.1868122802051603e-06,-0.0010387716439075,0.0010387716439075,0.999171387678686,0.00036001093413886003,0.999460931943706,1.0,1.0,-2.0,1.0,0,0,0,0.0,30,0,0,0,0
73,4EBP1pT70_4EBP1pS65,0.0124982478100712,5.23550928289779,5.23550928289779,2.0055528057784103e-07,6.69776589865054,5.58828791513013e-07,0.0016116622347235301,-1.0,-1.0,-1.0,0,0,0,0.0,1,0,0,0,0
74,ACCpS79_4EBP1pS65,-0.0137331193215502,-6.246982817209691,6.246982817209691,6.18315263396114e-10,9.20879003261015,1.91401442860215e-09,4.96878145665117e-06,-2.0,-2.0,,0,0,0,0.0,0,0,0,0,0
75,Collagenase_4EBP1pS65,-0.00422435975701513,-2.45175680306309,2.45175680306309,0.0143863743232286,1.8420486438546597,0.0283146960718748,1.0,2.0,-2.0,1.0,0,0,0,0.0,30,0,0,0,0
76,CyclinE1_4EBP1pS65,-0.00309958446219903,-1.0640266234608902,1.0640266234608902,0.287573754761383,0.541250752094492,0.39960966509812695,1.0,2.0,-2.0,2.0,0,0,0,8.6e-05,65,0,0,0,0
